;Couples;Score confiance;Score biblio;Score combiné
3608;condiments d'accompagnement vers herbes aromatiques;-0,030924855;0,5;0,469075145
1337;volailles et lapins vers bœuf en pièces ou haché;0,01902302;0,344660194;0,363683214
543;bœuf en pièces ou haché vers volailles et lapins;-0,022024783;0,344660194;0,322635412
569;légumes racines, tubercules ou bulbes vers légumes fruits;0,02879877;0,272952854;0,301751624
85;eau minérale plate vers eau de source;0,040155866;0,252788104;0,29294397
685;céréales sucrées, glacées ou au miel vers céréales chocolatées;-0,009209799;0,272727273;0,263517474
170;légumes fruits vers légumes feuilles;0,042799332;0,208406305;0,251205636
219;légumes fruits vers légumes racines, tubercules ou bulbes;-0,02939683;0,272952854;0,243556024
139;huile vers beurre;0,051009749;0,190943396;0,241953145
70;eau de source vers eau minérale plate;-0,042810507;0,252788104;0,209977597
164;légumes racines, tubercules ou bulbes vers légumes feuilles;0,054719343;0,153846154;0,208565497
454;café vers thé et infusions;0,203571429;0,004166667;0,207738095
25;sucre et assimilés vers confiture et miel;0,078554316;0,118811881;0,197366197
426;volailles et lapins vers poissons de mer;0,021860751;0,171779141;0,193639893
153;eau du robinet vers vin;0,088354683;0,105072464;0,193427147
114;pommes de terre et apparentés vers pâtes alimentaires;0,052836109;0,139240506;0,192076615
105;pommes de terre et apparentés vers pain;0,166892256;0,020372526;0,187264783
81;eau du robinet vers eau de source;0,135396798;0,051572327;0,186969125
1171;poissons de mer vers bœuf en pièces ou haché;0,014815205;0,160305344;0,175120548
1541;volailles et lapins vers jambons et charcuteries en pièces;0,016732759;0,156862745;0,173595504
61;eau de source vers vin;0,027145983;0,143631436;0,17077742
126;légumes feuilles vers légumes fruits;-0,042561035;0,208406305;0,16584527
117;beurre vers margarine;0,153313906;0,008658009;0,161971915
451;légumes racines, tubercules ou bulbes vers haricots verts et petits pois (légumes potagers);0,026168381;0,127192982;0,153361364
331;poissons de mer vers volailles et lapins;-0,022327141;0,171779141;0,149452
239;bœuf en pièces ou haché vers poissons de mer;-0,017041272;0,160305344;0,143264072
357;pâte chocolatée à tartiner vers céréales chocolatées;-0,00296827;0,142857143;0,139888873
64;beurre vers huile;-0,052260172;0,190943396;0,138683224
251;jambons et charcuteries en pièces vers volailles et lapins;-0,018447734;0,156862745;0,138415011
92;huile vers margarine;0,115433836;0,012672811;0,128106647
216;eau minérale plate vers vin;0,05419449;0,072847682;0,127042172
497;légumes fruits vers haricots verts et petits pois (légumes potagers);0,022064976;0,103942652;0,126007629
45;fromages affinés vers yaourts et assimilés;0,06785152;0,058096415;0,125947935
5359;viennoiserie vers céréales chocolatées;0,006804825;0,119047619;0,125852444
62;pâtes alimentaires vers pain;0,116211251;0,008360129;0,124571379
41;vin vers eau de source;-0,027163519;0,143631436;0,116467918
1046;jambons et charcuteries en pièces vers bœuf en pièces ou haché;0,008294202;0,104651163;0,112945364
5249;céréales chocolatées vers viennoiserie;-0,006468106;0,119047619;0,112579513
525;eau minérale plate vers eau du robinet;0,099751188;0,009615385;0,109366572
1207;jambons et charcuteries en pièces vers poissons de mer;-0,000163553;0,108527132;0,108363579
2346;poissons de mer vers jambons et charcuteries en pièces;-0,005632631;0,108527132;0,102894501
375;haricots verts et petits pois (légumes potagers) vers légumes racines, tubercules ou bulbes;-0,027680417;0,127192982;0,099512565
22;légumes feuilles vers légumes racines, tubercules ou bulbes;-0,056895188;0,153846154;0,096950966
825;bœuf en pièces ou haché vers jambons et charcuteries en pièces;-0,00891662;0,104651163;0,095734542
2111;oeufs et dérivés vers poissons de mer;0,002539015;0,092592593;0,095131607
75;eau du robinet vers jus de fruits (purs et à base  de concentré);0,076882501;0,017980636;0,094863137
1827;cacao, poudres et boissons cacaotées vers thé et infusions;0,03389115;0,060606061;0,094497211
38;pâtes alimentaires vers pommes de terre et apparentés;-0,054417149;0,139240506;0,084823357
2463;poissons de mer vers oeufs et dérivés;-0,0079086;0,092592593;0,084683993
440;haricots verts et petits pois (légumes potagers) vers légumes fruits;-0,021856765;0,103942652;0,082085888
1601;volailles et lapins vers saucisses, saucissons, andouilles et boudins;0,0204396;0,059701493;0,080141093
946;oeufs et dérivés vers jambons et charcuteries en pièces;0,014359284;0,063157895;0,077517179
276;haricots verts et petits pois (légumes potagers) vers légumes feuilles;0,02541241;0,050505051;0,07591746
141;pâtes alimentaires vers riz;0,013345175;0,058823529;0,072168704
507;condiments d'assaisonnement vers sauces;0,037163964;0,034926471;0,072090435
555;lait en bouteille ou en brique vers yaourts et assimilés;0,035514636;0,025510204;0,06102484
336;pommes de terre et apparentés vers riz;0,037648239;0,02006689;0,057715128
1407;saucisses, saucissons, andouilles et boudins vers poissons de mer;0,004835262;0,050847458;0,055682719
4134;oeufs et dérivés vers volailles et lapins;-0,000702371;0,054263566;0,053561195
865;jambons et charcuteries en pièces vers oeufs et dérivés;-0,015500888;0,063157895;0,047657007
3234;jambons et charcuteries en pièces vers saucisses, saucissons, andouilles et boudins;0,007259388;0,04;0,047259388
954;poissons de mer vers saucisses, saucissons, andouilles et boudins;-0,003969777;0,050847458;0,046877681
1127;café vers cacao, poudres et boissons cacaotées;0,032043708;0,014583333;0,046627041
1058;saucisses, saucissons, andouilles et boudins vers bœuf en pièces ou haché;0,015046792;0,029411765;0,044458556
1649;lait en bouteille ou en brique vers fromages affinés;0,034362288;0,008163265;0,042525553
10;confiture et miel vers sucre et assimilés;-0,082456191;0,118811881;0,03635569
344;biscuits sucrés vers céréales chocolatées;-0,055793311;0,090909091;0,03511578
788;saucisses, saucissons, andouilles et boudins vers volailles et lapins;-0,026684596;0,059701493;0,033016896
1286;oeufs et dérivés vers bœuf en pièces ou haché;0,001206641;0,030927835;0,032134476
475;bœuf en pièces ou haché vers oeufs et dérivés;-0,000851375;0,030927835;0,03007646
652;saucisses, saucissons, andouilles et boudins vers jambons et charcuteries en pièces;-0,011457559;0,04;0,028542441
2526;sel et épices vers sauces;0,022353612;0,006072874;0,028426486
2685;jus de fruits (purs et à base  de concentré) vers vin;0,013621622;0,01010101;0,023722632
46;riz vers pâtes alimentaires;-0,035209394;0,058823529;0,023614135
259;légumes feuilles vers haricots verts et petits pois (légumes potagers);-0,027387251;0,050505051;0,0231178
4991;poissons de mer vers porc;-0,000186359;0,022222222;0,022035864
2475;fruits vers viennoiserie;0,016894321;0,004580153;0,021474473
565;céréales sucrées, glacées ou au miel vers viennoiserie;-0,05550606;0,076923077;0,021417017
53;vin vers eau du robinet;-0,087581113;0,105072464;0,017491351
312;thé et infusions vers cacao, poudres et boissons cacaotées;-0,052147922;0,060606061;0,008458138
57;vin vers eau minérale plate;-0,06621005;0,072847682;0,006637632
893;pâte chocolatée à tartiner vers viennoiserie;-0,068477517;0,071428571;0,002951055
794;bœuf en pièces ou haché vers saucisses, saucissons, andouilles et boudins;-0,030367707;0,029411765;-0,000955943
409;sauces vers condiments d'assaisonnement;-0,039472749;0,034926471;-0,004546279
167;vin vers jus de fruits (purs et à base  de concentré);-0,01521261;0,01010101;-0,0051116
1340;eau de source vers jus de fruits (purs et à base  de concentré);-0,015626767;0,007575758;-0,00805101
2114;viennoiserie vers fruits;-0,012956836;0,004580153;-0,008376683
2382;sauces vers sel et épices;-0,015138313;0,006072874;-0,009065438
23;yaourts et assimilés vers fromages affinés;-0,069460979;0,058096415;-0,011364563
37;biscuits sucrés vers fruits;-0,016548798;0,001602564;-0,014946234
1052;cacao, poudres et boissons cacaotées vers café;-0,029615648;0,014583333;-0,015032315
1805;chicorée et poudre maltée vers cacao, poudres et boissons cacaotées;-0,044791943;0,027027027;-0,017764916
67;sodas et colas vers jus de fruits (purs et à base  de concentré);-0,030127298;0,01010101;-0,020026288
192;yaourts et assimilés vers lait en bouteille ou en brique;-0,047351199;0,025510204;-0,021840995
5363;chicorée et poudre maltée vers café;-0,024647887;0,002217295;-0,022430592
372;fromages affinés vers lait en bouteille ou en brique;-0,034372512;0,008163265;-0,026209246
137;riz vers pommes de terre et apparentés;-0,057187636;0,02006689;-0,037120746
2282;vin vers sodas et colas;-0,050133204;0,004901961;-0,045231243
496;chicorée et poudre maltée vers thé et infusions;-0,085985248;0,027027027;-0,058958221
72;jus de fruits (purs et à base  de concentré) vers eau du robinet;-0,08339117;0,017980636;-0,065410533
24;eau de source vers eau du robinet;-0,124277402;0,051572327;-0,072705075
241;eau du robinet vers eau minérale plate;-0,122829788;0,009615385;-0,113214404
30;margarine vers huile;-0,130629386;0,012672811;-0,117956575
54;pain vers pâtes alimentaires;-0,130756031;0,008360129;-0,122395902
14;thé et infusions vers café;-0,143546737;0,004166667;-0,139380071
51;pain vers pommes de terre et apparentés;-0,165720615;0,020372526;-0,145348088
59;margarine vers beurre;-0,154077378;0,008658009;-0,145419369
349;yaourts et assimilés vers fromage blanc et petits suisses;-0,18490848;0,004255319;-0,18065316
